Category	Date	Title	Type	URL	CategoryURL
Add-Ins	10/11/2015 08:28	Announcing unified MZ-Tools 8.0 for Visual Studio, VBA (64-bit/32-bit), VB6 and VB5	Other	http://www.visualstudioextensibility.com/2015/10/11/announcing-unified-mz-tools-8-0-for-visual-studio-vba-64-bit32-bit-vb6-and-vb5/	http://www.visualstudioextensibility.com/category/add-ins/
Add-Ins	06/14/2015 13:38	MZ-Tools Articles Series: BUG: Visual Studio 2008 crashes if unloaded when an add-in executes DoEvents statement on startup	Bug	http://www.visualstudioextensibility.com/2015/06/14/mz-tools-articles-series-bug-visual-studio-2008-crashes-if-unloaded-when-an-add-in-executes-doevents-statement-on-startup/	http://www.visualstudioextensibility.com/category/add-ins/
Add-Ins	09/28/2014 16:57	MZ-Tools Articles Series: PRB: Window.Close doesn’t save changes if requested for .sql files in non-database projects	Other	http://www.visualstudioextensibility.com/2014/09/28/mz-tools-articles-series-prb-window-close-doesnt-save-changes-if-requested-for-sql-files-in-non-database-projects/	http://www.visualstudioextensibility.com/category/add-ins/
Add-Ins	09/23/2014 15:09	MZ-Tools Articles Series: HOWTO: Pass parameters programmatically to a command from a Visual Studio add-in	HowTo	http://www.visualstudioextensibility.com/2014/09/23/mz-tools-articles-series-howto-pass-parameters-programmatically-to-a-command-from-a-visual-studio-add-in/	http://www.visualstudioextensibility.com/category/add-ins/
Add-Ins	08/29/2011 02:36	Visual Studio Extensibility (VSX) Forum FAQs about add-in development	Other	http://www.visualstudioextensibility.com/2011/08/29/visual-studio-extensibility-vsx-forum-faqs-about-add-in-development/	http://www.visualstudioextensibility.com/category/add-ins/
Add-Ins	08/05/2011 09:36	EnvDTE.Window.Kind vs EnvDTE.Window.ObjectKind	Other	http://www.visualstudioextensibility.com/2011/08/05/envdte-window-kind-vs-envdte-window-objectkind/	http://www.visualstudioextensibility.com/category/add-ins/
Add-Ins	04/20/2011 11:19	MZ-Tools Resources about Visual Studio .NET extensibility updated for VS 2010	Other	http://www.visualstudioextensibility.com/2011/04/20/mz-tools-resources-about-visual-studio-net-extensibility-updated-for-vs-2010/	http://www.visualstudioextensibility.com/category/add-ins/
Add-Ins	09/13/2009 19:47	More on devenv.exe /resetaddin not removing permanent commandbars	Other	http://www.visualstudioextensibility.com/2009/09/14/more-on-devenv-exe-resetaddin-not-removing-permanent-commandbars/	http://www.visualstudioextensibility.com/category/add-ins/
Add-Ins	08/31/2009 23:58	Microsoft fixing bug “Standard user unable to load/unload COM-based add-ins registered for all users with the VS Add-in Manager on Windows Vista”	Other	http://www.visualstudioextensibility.com/2009/09/01/microsoft-fixing-bug-quot-standard-user-unable-to-load-unload-com-based-add-ins-registered-for-all-users-with-the-vs-add-in-manager-on-windows-vista-quot/	http://www.visualstudioextensibility.com/category/add-ins/
Add-Ins	07/28/2009 09:39	MZ-Tools Articles Series: BUG: EnvDTE.CodeElement.Name doesn’t return interface name for explictly implemented C# interface events	Bug	http://www.visualstudioextensibility.com/2009/07/28/mz-tools-articles-series-bug-envdte-codeelement-name-doesn-t-return-interface-name-for-explictly-implemented-c-interface-events/	http://www.visualstudioextensibility.com/category/add-ins/
